FID	IID
CAMBRIDGE-BELIEVE_337834222_337834222	CAMBRIDGE-BELIEVE_337834222_337834222
CAMBRIDGE-BELIEVE_337834323_337834323	CAMBRIDGE-BELIEVE_337834323_337834323
CAMBRIDGE-BELIEVE_337834580_337834580	CAMBRIDGE-BELIEVE_337834580_337834580
CAMBRIDGE-BELIEVE_337834649_337834649	CAMBRIDGE-BELIEVE_337834649_337834649
CAMBRIDGE-BELIEVE_337834743_337834743	CAMBRIDGE-BELIEVE_337834743_337834743
CAMBRIDGE-BELIEVE_337834767_337834767	CAMBRIDGE-BELIEVE_337834767_337834767
CAMBRIDGE-BELIEVE_337834812_337834812	CAMBRIDGE-BELIEVE_337834812_337834812
CAMBRIDGE-BELIEVE_337845116_337845116	CAMBRIDGE-BELIEVE_337845116_337845116
CAMBRIDGE-BELIEVE_337845516_337845516	CAMBRIDGE-BELIEVE_337845516_337845516
CAMBRIDGE-BELIEVE_337845789_337845789	CAMBRIDGE-BELIEVE_337845789_337845789
CAMBRIDGE-BELIEVE_337845864_337845864	CAMBRIDGE-BELIEVE_337845864_337845864
CAMBRIDGE-BELIEVE_337845944_337845944	CAMBRIDGE-BELIEVE_337845944_337845944
CAMBRIDGE-BELIEVE_337845957_337845957	CAMBRIDGE-BELIEVE_337845957_337845957
CAMBRIDGE-BELIEVE_337849447_337849447	CAMBRIDGE-BELIEVE_337849447_337849447
CAMBRIDGE-BELIEVE_337849466_337849466	CAMBRIDGE-BELIEVE_337849466_337849466
CAMBRIDGE-BELIEVE_337849694_337849694	CAMBRIDGE-BELIEVE_337849694_337849694
CAMBRIDGE-BELIEVE_337850469_337850469	CAMBRIDGE-BELIEVE_337850469_337850469
CAMBRIDGE-BELIEVE_337850739_337850739	CAMBRIDGE-BELIEVE_337850739_337850739
CAMBRIDGE-BELIEVE_337850996_337850996	CAMBRIDGE-BELIEVE_337850996_337850996
CAMBRIDGE-BELIEVE_337851046_337851046	CAMBRIDGE-BELIEVE_337851046_337851046
CAMBRIDGE-BELIEVE_337851212_337851212	CAMBRIDGE-BELIEVE_337851212_337851212
CAMBRIDGE-BELIEVE_337851305_337851305	CAMBRIDGE-BELIEVE_337851305_337851305
CAMBRIDGE-BELIEVE_337851922_337851922	CAMBRIDGE-BELIEVE_337851922_337851922
CAMBRIDGE-BELIEVE_337852114_337852114	CAMBRIDGE-BELIEVE_337852114_337852114
CAMBRIDGE-BELIEVE_337853040_337853040	CAMBRIDGE-BELIEVE_337853040_337853040
CAMBRIDGE-BELIEVE_337859527_337859527	CAMBRIDGE-BELIEVE_337859527_337859527
CAMBRIDGE-BELIEVE_337859890_337859890	CAMBRIDGE-BELIEVE_337859890_337859890
CAMBRIDGE-BELIEVE_337860138_337860138	CAMBRIDGE-BELIEVE_337860138_337860138
CAMBRIDGE-BELIEVE_337861468_337861468	CAMBRIDGE-BELIEVE_337861468_337861468
CAMBRIDGE-BELIEVE_337959135_337959135	CAMBRIDGE-BELIEVE_337959135_337959135
CAMBRIDGE-BELIEVE_337960798_337960798	CAMBRIDGE-BELIEVE_337960798_337960798
CAMBRIDGE-BELIEVE_337961175_337961175	CAMBRIDGE-BELIEVE_337961175_337961175
CAMBRIDGE-BELIEVE_337964795_337964795	CAMBRIDGE-BELIEVE_337964795_337964795
CAMBRIDGE-BELIEVE_337964819_337964819	CAMBRIDGE-BELIEVE_337964819_337964819
CAMBRIDGE-BELIEVE_337964856_337964856	CAMBRIDGE-BELIEVE_337964856_337964856
CAMBRIDGE-BELIEVE_337965474_337965474	CAMBRIDGE-BELIEVE_337965474_337965474
CAMBRIDGE-BELIEVE_337965761_337965761	CAMBRIDGE-BELIEVE_337965761_337965761
CAMBRIDGE-BELIEVE_337965955_337965955	CAMBRIDGE-BELIEVE_337965955_337965955
CAMBRIDGE-BELIEVE_337984249_337984249	CAMBRIDGE-BELIEVE_337984249_337984249
